Name EN,Focus Region,Language,Entity Owner EN,Parent Entity EN,X (Twitter) Handle,X (Twitter) Followers,Facebook Handle,Facebook Followers,Instagram Handle,Instagram Followers,Threads Handle,Threads Followers,YouTube Handle,YouTube Followers,TikTok Handle,TikTok Followers,Total Social Media Presence,Platform Presence Category,Total Followers,Twitter Dominance,Facebook Dominance,Instagram Dominance,Threads Dominance,YouTube Dominance,TikTok Dominance,IQR based Outlier
Yang Xinmeng (Abby Yang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,_bubblyabby_,1678,itsAbby-103043374799622,1387432,_bubblyabby_,9507,_bubblyabby_,197,itsAbby,4680,_bubblyabby_,660,6,High,1404154,0.1,98.8,0.7,0.0,0.3,0.0,True
CGTN Culture Express,Anglosphere,English,China Media Group (CMG),Central Publicity Department,_cultureexpress,2488,Unknown,0,_cultureexpress/,635,Unknown,0,Unknown,0,Unknown,0,2,Medium,3123,79.7,0.0,20.3,0.0,0.0,0.0,True
All-China Students' Federation,China,Chinese,All-China Students' Federation,Central Committee of the Communist Youth League,ACSF1919,5136,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5136,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Zhong (Dechinghutay / Ghoti),Afghanistan,Pashto,China Media Group (CMG),Central Publicity Department,afghanchina,1800,dechinghutay,1600000,Unknown,0,Unknown,0,dechinghutay,695,dechinghutay,326100,4,High,1928595,0.1,83.0,0.0,0.0,0.0,16.9,True
Yang Sheng,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,AlexYsalex17,2821,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2821,100.0,0.0,0.0,0.0,0.0,0.0,False
Yunnan Gateway,Yunnan,Chinese,Yunnan Daily Press Group,State Council Information Office (SCIO),Amazing_Yunnan,12400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12400,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Xu,Switzerland,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_ChenXu,12600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12600,100.0,0.0,0.0,0.0,0.0,0.0,False
Li Song,Austria,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_LiSong,5972,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5972,100.0,0.0,0.0,0.0,0.0,0.0,False
Lu Kang,Indonesia,Bahasa Indonesia,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_LuKang,40600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,40600,100.0,0.0,0.0,0.0,0.0,0.0,True
Zhang Yiming,UAE,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_Yiming,20300,Unknown,0,amb_yiming,19,Unknown,0,Unknown,0,Unknown,0,2,Medium,20319,99.9,0.0,0.1,0.0,0.0,0.0,True
Zhu Jing,EU,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Amb_ZhuJing,18500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,18500,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in France,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbassadeChine,63800,AmbassadeChine,61000,ambassadedechine,2593,Unknown,0,Unknown,0,ambassadedechine,168600,4,High,295993,21.6,20.6,0.9,0.0,0.0,57.0,True
Liu Yuxi,African Union,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ambassador_Liu,11200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,11200,100.0,0.0,0.0,0.0,0.0,0.0,False
Huang Xingyuan,Cyprus,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbassadorHuang,2534,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2534,100.0,0.0,0.0,0.0,0.0,0.0,False
Lei Kezhong,Lesotho,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbassadorLei,1470,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1470,100.0,0.0,0.0,0.0,0.0,0.0,False
Chang Hua,Iran,Persian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChangHua,26400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,26400,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Bo,Serbia,Serbian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChenBo,12900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12900,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Weiqing,Saudi Arabia,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChenWeiqing,83700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,83700,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Burundi,Burundi,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChineBurundi,4651,Unknown,0,Unknown,0,Unknown,0,ambassadedechineauburundi9155,71,Unknown,0,2,Medium,4722,98.5,0.0,0.0,0.0,1.5,0.0,True
Chinese Embassy in Cameroon,Cameroon,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbChineCmr,3147,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3147,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Dem. Rep. of Congo (Kinshasa),Dem. Rep. of Congo,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbCHINEenRDC,17400,profile.php?id=100091791662713,132,Unknown,0,Unknown,0,ambassaderdcchine5932,454,Unknown,0,3,Medium,17986,96.7,0.7,0.0,0.0,2.5,0.0,True
Chinese Embassy in Chad,Chad,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambchinetchad,5478,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5478,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Italy,Italy,Italian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbCina,48800,chineseembassyitaly,17700,ambcina,2175,Unknown,0,Unknown,0,ambcina,7989,4,High,76664,63.7,23.1,2.8,0.0,0.0,10.4,True
Cui Tiankai,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbCuiTiankai,137100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,137100,100.0,0.0,0.0,0.0,0.0,0.0,True
Dong Xiaojun,Bulgaria,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbDongXiaojun,8993,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,8993,100.0,0.0,0.0,0.0,0.0,0.0,False
Fang Qiu,Trinidad and Tobago,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbFangQiu,1809,fang.qiu.9847,4500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,6309,28.7,71.3,0.0,0.0,0.0,0.0,False
Jia Guide,Italy,Italian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbJiaGuide,6878,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6878,100.0,0.0,0.0,0.0,0.0,0.0,False
Kong Xuanyou,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbKongXuanyou,3599,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3599,100.0,0.0,0.0,0.0,0.0,0.0,False
Liao Liqiang,Egypt,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiaoLiqiang,16500,AmbLiaoliqiang,6200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,22700,72.7,27.3,0.0,0.0,0.0,0.0,False
Liu Guangyuan,Poland,Polish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiuGuangYuan,5596,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5596,100.0,0.0,0.0,0.0,0.0,0.0,False
Liu Quan,Suriname,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiuQuan,13700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,13700,100.0,0.0,0.0,0.0,0.0,0.0,False
Liu Xiaoming,South Korea,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbLiuXiaoMing,329400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,329400,100.0,0.0,0.0,0.0,0.0,0.0,True
Nong Rong,Pakistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbNong,61200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,61200,100.0,0.0,0.0,0.0,0.0,0.0,True
Qin Gang,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbQinGang,288500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,288500,100.0,0.0,0.0,0.0,0.0,0.0,True
Wu Jianghao,Japan,Japanese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbWuJianghao,4587,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,4587,100.0,0.0,0.0,0.0,0.0,0.0,False
Xie Feng,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbXieFeng,19400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,19400,100.0,0.0,0.0,0.0,0.0,0.0,False
Zheng Zeguang,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbZhengZeguang,8481,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,8481,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhou Jian,Qatar,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,AmbZhouJian,6682,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6682,100.0,0.0,0.0,0.0,0.0,0.0,False
Media Challengers,Anglosphere,English,China Media Group (CMG),Central Publicity Department,aMEDIAchallenge,66,themediachallengers,93000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,93066,0.1,99.9,0.0,0.0,0.0,0.0,False
Andy Boreham,Shanghai,English,Shanghai United Media Group (SUMG),Shanghai Municipal Committee,AndyBxxx,85400,reportsonchina,21000,Unknown,0,Unknown,0,ReportsOnChina,57000,andysshanghailife,2733,4,High,166133,51.4,12.6,0.0,0.0,34.3,1.6,True
Ge Anna,Anglosphere,English,China Media Group (CMG),Central Publicity Department,AnnaGE_,3298,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3298,100.0,0.0,0.0,0.0,0.0,0.0,False
Wang Zeyu (Anosi Wang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,anosiwang,208,Unknown,0,anosiwang,247,Unknown,0,Unknown,0,Unknown,0,2,Medium,455,45.7,0.0,54.3,0.0,0.0,0.0,True
We Are China,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,are_china,104,WeAreChinaVideos,25000000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,25000104,0.0,100.0,0.0,0.0,0.0,0.0,True
CGTN Assignment Asia,Anglosphere,English,China Media Group (CMG),Central Publicity Department,assignasia,740,cgtnassignmentasia,102000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,102740,0.7,99.3,0.0,0.0,0.0,0.0,False
Ma Ye (Ayisha Elseenya / عائشة الصينية),MENA,Arabic,China Media Group (CMG),Central Publicity Department,ayishaelseenya,95,AyishaElseenyOfficial,2338731,ayisha_elseeny13,41100,Unknown,0,AyishaElseenya,866000,ayishaelseenya,31200,5,High,3277126,0.0,71.4,1.3,0.0,26.4,1.0,True
Diba,China,Chinese,Diba,Diba,back_XiaoDiDi,29300,China.Di8,41000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,70300,41.7,58.3,0.0,0.0,0.0,0.0,False
Discover Jiangxi,Jiangxi,English,Jiangxi Provincial Department of Culture and Tourism,Jiangxi Provincial People's Government,BeautyJiangxi,88000,DiscoverJiangxi2018,1200000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1288000,6.8,93.2,0.0,0.0,0.0,0.0,True
Beijing Channel,Anglosphere,English,Xinhua News Agency,State Council,BeijingChannel,1347,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1347,100.0,0.0,0.0,0.0,0.0,0.0,False
Discover Beijing,Anglosphere,English,unknown,unknown,BeijingDiscover,22900,DiscoverBeijing,4000000,idiscoverbeijing,7137,idiscoverbeijing,88,Unknown,0,discoverbeijing,9009,5,High,4039134,0.6,99.0,0.2,0.0,0.0,0.2,True
Beijing Review,Beijing,English,China International Communications Group (CICG),Central Publicity Department,BeijingReview,94300,BJReview,94300,beijingreview,3087,Unknown,0,BeijingReview,1790,Unknown,0,4,High,193477,48.7,48.7,1.6,0.0,0.9,0.0,True
Belt and Road News Network,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,beltroadnews,3062,TheBeltandRoadNewsNetwork,4900000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,4903062,0.1,99.9,0.0,0.0,0.0,0.0,True
BJD Review,China,Chinese,Beijing Daily Newspaper Group ,Beijing Municipal Committee,bjd_review,868,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,868,100.0,0.0,0.0,0.0,0.0,0.0,False
