Name EN,Name CN,Focus Region,Language,Entity Owner EN,Entity Owner CN,Parent Entity EN,Parent Entity CN,X (Twitter) Handle,X (Twitter) Followers,Facebook Handle,Facebook Followers,Instagram Handle,Instagram Followers,Threads Handle,Threads Followers,YouTube Handle,YouTube Followers,TikTok Handle,TikTok Followers,Total Social Media Presence,Platform Presence Category,Total Followers,Twitter Dominance,Facebook Dominance,Instagram Dominance,Threads Dominance,YouTube Dominance,TikTok Dominance,IQR based Outlier
Yang Xinmeng (Abby Yang),杨欣萌,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,_bubblyabby_,1678,itsAbby-103043374799622,1387432,_bubblyabby_,9507,_bubblyabby_,197,itsAbby,4680,_bubblyabby_,660,6,High,1404154,0.1,98.8,0.7,0.0,0.3,0.0,True
CGTN Culture Express,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,_cultureexpress,2488,Unknown,0,_cultureexpress/,635,Unknown,0,Unknown,0,Unknown,0,2,Medium,3123,79.7,0.0,20.3,0.0,0.0,0.0,True
All-China Students' Federation,中华全国学联,China,Chinese,All-China Students' Federation,中华全国学生联合会,Central Committee of the Communist Youth League,共青团中央,ACSF1919,5136,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5136,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Zhong (Dechinghutay / Ghoti),陈重,Afghanistan,Pashto,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,afghanchina,1800,dechinghutay,1600000,Unknown,0,Unknown,0,dechinghutay,695,dechinghutay,326100,4,High,1928595,0.1,83.0,0.0,0.0,0.0,16.9,True
Yang Sheng,Unknown,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,AlexYsalex17,2821,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2821,100.0,0.0,0.0,0.0,0.0,0.0,False
Yunnan Gateway,云桥网,Yunnan,Chinese,Yunnan Daily Press Group,云南日报报业集团,State Council Information Office (SCIO),国务院新闻办公室,Amazing_Yunnan,12400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12400,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Xu,Unknown,Switzerland,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_ChenXu,12600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12600,100.0,0.0,0.0,0.0,0.0,0.0,False
Li Song,李松,Austria,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_LiSong,5972,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5972,100.0,0.0,0.0,0.0,0.0,0.0,False
Lu Kang,陆慷,Indonesia,Bahasa Indonesia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_LuKang,40600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,40600,100.0,0.0,0.0,0.0,0.0,0.0,True
Zhang Yiming,张益明,UAE,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_Yiming,20300,Unknown,0,amb_yiming,19,Unknown,0,Unknown,0,Unknown,0,2,Medium,20319,99.9,0.0,0.1,0.0,0.0,0.0,True
